val_loss,auc,val_Accuracy,val_CohenKappa,val_Recall,val_Precision,epoch,step
0.6546860337257385,0.6796875,0.6666666865348816,0.0,0.5,0.3333333432674408,0,56
0.6933601498603821,0.6640625,0.5416666865348816,0.23255819082260132,0.65625,0.7105263471603394,1,113
0.704282283782959,0.6953125,0.4166666567325592,0.08695656061172485,0.5625,0.6818181872367859,2,170
0.6828060746192932,0.7109375,0.5416666865348816,0.23255819082260132,0.65625,0.7105263471603394,3,227
0.6295216083526611,0.71875,0.6666666865348816,0.0,0.5,0.3333333432674408,4,284
0.6131600737571716,0.734375,0.6666666865348816,0.07692313194274902,0.53125,0.5909091234207153,5,341
0.6010788083076477,0.7109375,0.6666666865348816,0.0,0.5,0.3333333432674408,6,398
0.6090062856674194,0.7109375,0.6666666865348816,0.25,0.625,0.625,7,455
0.6007396578788757,0.734375,0.5833333134651184,0.11764705181121826,0.5625,0.5571428537368774,8,512
0.5751051902770996,0.7578125,0.7083333134651184,0.27586209774017334,0.625,0.6684210300445557,9,569
0.598938524723053,0.7265625,0.625,0.22857147455215454,0.625,0.6118881106376648,10,626
0.5596990585327148,0.7578125,0.7083333134651184,0.27586209774017334,0.625,0.6684210300445557,11,683
0.6056702733039856,0.7578125,0.625,0.307692289352417,0.6875,0.6777777671813965,12,740
0.5497965812683105,0.78125,0.75,0.3999999761581421,0.6875,0.7222222089767456,13,797
0.5640815496444702,0.7890625,0.7083333134651184,0.40000003576278687,0.71875,0.695804238319397,14,854
0.5368914604187012,0.78125,0.75,0.3999999761581421,0.6875,0.7222222089767456,15,911
0.5358196496963501,0.78125,0.6666666865348816,0.0,0.5,0.3333333432674408,16,968
0.5396439433097839,0.7734375,0.7916666865348816,0.5454545021057129,0.78125,0.7666666507720947,17,1025
0.5304948091506958,0.78125,0.7916666865348816,0.5454545021057129,0.78125,0.7666666507720947,18,1082
0.5194669365882874,0.8046875,0.625,-0.08000004291534424,0.46875,0.32608696818351746,19,1139
0.5272625088691711,0.796875,0.625,-0.08000004291534424,0.46875,0.32608696818351746,20,1196
0.5341693162918091,0.78125,0.8333333134651184,0.625,0.8125,0.8125,21,1253
0.5407060980796814,0.796875,0.7083333134651184,0.40000003576278687,0.71875,0.695804238319397,22,1310
0.5055405497550964,0.7890625,0.625,0.0,0.5,0.5,23,1367
0.5279315114021301,0.8125,0.7083333134651184,0.40000003576278687,0.71875,0.695804238319397,24,1424
0.5292549729347229,0.8046875,0.625,-0.08000004291534424,0.46875,0.32608696818351746,25,1481
0.5207033753395081,0.7890625,0.8333333134651184,0.625,0.8125,0.8125,26,1538
0.5091351270675659,0.796875,0.8333333134651184,0.625,0.8125,0.8125,27,1595
0.5525447726249695,0.8046875,0.7083333134651184,0.43243247270584106,0.75,0.7237762212753296,28,1652
0.5139923691749573,0.8046875,0.7916666865348816,0.5454545021057129,0.78125,0.7666666507720947,29,1709
0.5532463192939758,0.8125,0.75,0.5263158082962036,0.8125,0.7857142686843872,30,1766
0.5189347863197327,0.8046875,0.6666666865348816,0.0,0.5,0.3333333432674408,31,1823
0.5401450991630554,0.8125,0.6666666865348816,0.0,0.5,0.3333333432674408,32,1880
0.533941388130188,0.8125,0.6666666865348816,0.0,0.5,0.3333333432674408,33,1937
0.48026785254478455,0.8203125,0.8333333134651184,0.625,0.8125,0.8125,34,1994
0.5081407427787781,0.828125,0.75,0.47058820724487305,0.75,0.7285714149475098,35,2051
0.49546369910240173,0.8125,0.8333333134651184,0.625,0.8125,0.8125,36,2108
0.4988119602203369,0.8359375,0.75,0.47058820724487305,0.75,0.7285714149475098,37,2165
0.5409088730812073,0.828125,0.75,0.5,0.78125,0.75,38,2222
0.5029482841491699,0.8046875,0.75,0.47058820724487305,0.75,0.7285714149475098,39,2279
0.49301066994667053,0.828125,0.7083333134651184,0.40000003576278687,0.71875,0.695804238319397,40,2336
0.4989204704761505,0.828125,0.7083333134651184,0.40000003576278687,0.71875,0.695804238319397,41,2393
0.4677560329437256,0.84375,0.7083333134651184,0.27586209774017334,0.625,0.6684210300445557,42,2450
0.47796571254730225,0.8203125,0.8333333134651184,0.625,0.8125,0.8125,43,2507
0.48012685775756836,0.8125,0.625,0.0,0.5,0.5,44,2564
0.48995891213417053,0.8359375,0.6666666865348816,0.07692313194274902,0.53125,0.5909091234207153,45,2621
0.4763340651988983,0.828125,0.6666666865348816,0.1428571343421936,0.5625,0.6000000238418579,46,2678
0.5416519045829773,0.8515625,0.6666666865348816,0.0,0.5,0.3333333432674408,47,2735
0.48533859848976135,0.828125,0.75,0.47058820724487305,0.75,0.7285714149475098,48,2792
0.47611895203590393,0.828125,0.8333333134651184,0.625,0.8125,0.8125,49,2849
0.5024996399879456,0.84375,0.7083333134651184,0.40000003576278687,0.71875,0.695804238319397,50,2906
0.47917190194129944,0.8359375,0.6666666865348816,0.1428571343421936,0.5625,0.6000000238418579,51,2963
0.5036068558692932,0.8515625,0.6666666865348816,0.0,0.5,0.3333333432674408,52,3020
0.4667089879512787,0.8359375,0.8333333134651184,0.625,0.8125,0.8125,53,3077
0.5119922161102295,0.84375,0.6666666865348816,0.0,0.5,0.3333333432674408,54,3134
0.4643901288509369,0.8515625,0.7916666865348816,0.5454545021057129,0.78125,0.7666666507720947,55,3191
0.4679161310195923,0.828125,0.7916666865348816,0.5454545021057129,0.78125,0.7666666507720947,56,3248
0.4583848714828491,0.8359375,0.7916666865348816,0.5454545021057129,0.78125,0.7666666507720947,57,3305
0.4970422685146332,0.8359375,0.7083333134651184,0.43243247270584106,0.75,0.7237762212753296,58,3362
