val_loss,auc,val_Accuracy,val_CohenKappa,val_Recall,val_Precision,epoch,step
0.7524021863937378,0.5499999523162842,0.4444444477558136,0.0,0.5,0.2222222238779068,0,19
0.8395378589630127,0.6499999761581421,0.4444444477558136,0.0,0.5,0.2222222238779068,1,39
0.8058426976203918,0.75,0.4444444477558136,0.0,0.5,0.2222222238779068,2,59
0.7993342280387878,0.699999988079071,0.4444444477558136,0.0,0.5,0.2222222238779068,3,79
0.8229231238365173,0.75,0.4444444477558136,0.0,0.5,0.2222222238779068,4,99
0.8122567534446716,0.75,0.4444444477558136,0.0,0.5,0.2222222238779068,5,119
0.7772764563560486,0.75,0.4444444477558136,0.0,0.5,0.2222222238779068,6,139
0.7961243391036987,0.699999988079071,0.4444444477558136,0.0,0.5,0.2222222238779068,7,159
0.7356360554695129,0.8999999761581421,0.4444444477558136,0.0,0.5,0.2222222238779068,8,179
0.7011263370513916,0.949999988079071,0.4444444477558136,0.0,0.5,0.2222222238779068,9,199
0.8681790232658386,0.6499999761581421,0.4444444477558136,0.0,0.5,0.2222222238779068,10,219
0.7675300240516663,0.8500000238418579,0.4444444477558136,0.0,0.5,0.2222222238779068,11,239
0.7169539928436279,1.0,0.4444444477558136,0.0,0.5,0.2222222238779068,12,259
0.9221089482307434,0.75,0.4444444477558136,0.0,0.5,0.2222222238779068,13,279
0.7307934165000916,0.949999988079071,0.4444444477558136,0.0,0.5,0.2222222238779068,14,299
0.632365345954895,1.0,0.4444444477558136,0.0,0.5,0.2222222238779068,15,319
0.9789966940879822,0.8999999761581421,0.4444444477558136,0.0,0.5,0.2222222238779068,16,339
0.7185690402984619,1.0,0.4444444477558136,0.0,0.5,0.2222222238779068,17,359
0.8638665080070496,0.800000011920929,0.4444444477558136,0.0,0.5,0.2222222238779068,18,379
